Linha  Coluna    Cota AGrossa  Silte Argila  pHAgua  pHKCl   Ca    Mg     K      Al     H      C      N       CTC     S     V       M     NC      CEC   CN
  1.00	 1.00  578.295	 9.00  26.00  43.00   5.80   4.90   3.60   0.80   0.50	 0.00	3.10   1.20   0.12   8.00   4.90  61.250   0.00   1.050   4.90	10
  1.00	 2.00  578.460	 9.00  26.00  42.00   5.90   4.90   3.40   0.80   0.44	 0.00	3.20   1.10   0.12   7.84   4.64  59.184   0.00   1.272   4.64	 9
  1.00	 3.00  578.491	 9.00  25.00  41.00   5.90   4.90   3.70   0.90   0.59	 0.00	2.50   1.20   0.13   7.69   5.19  67.490   0.00   0.289   5.19	 9
  1.00	 4.00  578.699	11.00  28.00  40.00   5.80   4.90   3.70   0.80   0.52	 0.00	3.50   1.30   0.12   8.52   5.02  58.920   0.00   1.416   5.02	10
  1.00	 5.00  578.749	 9.00  27.00  41.00   5.80   5.00   4.20   0.90   0.56	 0.00	3.40   1.40   0.13   9.06   5.66  62.472   0.00   1.023   5.66	10
  1.00	 6.00  578.726	 8.00  27.00  43.00   6.10   5.10   4.10   0.90   0.56	 0.00	3.10   1.20   0.13   8.66   5.56  64.203   0.00   0.753   5.56	 9
  1.00	 7.00  578.785	 8.00  28.00  43.00   6.10   5.00   3.90   0.90   0.60	 0.00	3.30   1.30   0.12   8.70   5.40  62.069   0.00   1.035   5.40	10
  1.00	 8.00  578.831	 8.00  24.00  46.00   5.90   4.90   3.80   0.90   0.55	 0.00	2.60   1.20   0.12   7.85   5.25  66.879   0.00   0.367   5.25	10
  1.00	 9.00  578.918	 8.00  25.00  45.00   5.90   5.00   3.90   0.90   0.53	 0.00	2.90   1.30   0.12   8.23   5.33  64.763   0.00   0.646   5.33	10
  1.00	10.00  579.065	 9.00  25.00  43.00   5.90   5.00   4.20   0.90   0.51	 0.00	3.20   1.40   0.12   8.81   5.61  63.678   0.00   0.836   5.61	11
  1.00	11.00  579.066	 8.00  27.00  43.00   6.10   5.00   4.20   0.80   0.52	 0.00	2.90   1.30   0.12   8.42   5.52  65.558   0.00   0.561   5.52	10
  1.00	12.00  579.140	 8.00  24.00  46.00   6.10   5.00   4.10   0.90   0.56	 0.00	3.00   1.30   0.12   8.56   5.56  64.953   0.00   0.648   5.56	10
  1.00	13.00  579.130	 8.00  24.00  46.00   6.00   5.10   3.90   0.90   0.57	 0.00	2.50   1.20   0.12   7.87   5.37  68.234   0.00   0.209   5.37	10
  1.00	14.00  579.210	 8.00  25.00  45.00   5.90   5.00   3.80   0.90   0.52	 0.00	3.00   1.10   0.12   8.22   5.22  63.504   0.00   0.801   5.22	 9
